function,optimiser,converged,iterations,final_value,runtime_ms,config
beale,Muon,True,53,4.719339506349089e-08,36.93056106567383,"{'learning_rate': 1.808206730154871, 'adam_b1': 0.7807112391122855, 'adam_b2': 0.830319808458577, 'eps': 1.7655835392092495e-09, 'beta': 0.6239960807674184}"
beale,cSGD_offdiag_theta_l,False,1000,,686.0792636871338,"{'learning_rate': 0.0009495011036840141, 'momentum': 0.24473401300148806, 'xi': 0.5519201464041236, 'gamma': 0.002042560939621085, 'weight_decay': 0.008817173063953963, 'base_mode': 'grad', 'use_momentum_for_update': True}"
beale,cSGD_offdiag_m_theta,False,1000,,690.3555393218994,"{'learning_rate': 0.2944655761430839, 'momentum': 0.01920723316203328, 'xi': 0.004315527043445033, 'gamma': 0.13797286316464275, 'weight_decay': 0.002751902117734757, 'base_mode': 'grad', 'use_momentum_for_update': False}"
beale,cSGD_offdiag_m_l,False,1000,3.151363654058059e-05,699.6641159057617,"{'learning_rate': 5.059391856178639e-05, 'momentum': 0.8337717935643834, 'xi': 0.0011130902514389363, 'gamma': 0.0002304685050634023, 'weight_decay': 0.007032800540422505, 'base_mode': 'momentum', 'use_momentum_for_update': True}"
beale,cSGD_offdiag_theta_theta,False,1000,0.0016999092253540454,666.189432144165,"{'learning_rate': 0.003526876765575042, 'momentum': 0.12527985808441347, 'xi': 0.0241602977139825, 'gamma': 0.6577736846503074, 'weight_decay': 0.002582643578871635, 'base_mode': 'momentum', 'use_momentum_for_update': False}"
beale,cSGD_learn_scalar_log,False,1000,14.203125,87.96429634094238,"{'learning_rate': 5.5824314516823514e-05, 'momentum': 0.2692302288673447, 'xi': 1.090418094655994, 'beta': 0.7203725228007646, 'metric_lr': 0.0764808638731916, 'metric_reg': 1.82584804259228e-06, 'metric_clip': 2.9502847746935372}"
beale,cSGD_offdiag_l_m,False,1000,7.719321981484843e-07,723.5465049743652,"{'learning_rate': 0.0002600865413803187, 'momentum': 0.05418537985573603, 'xi': 0.00105005133603291, 'gamma': 0.012401542805657901, 'weight_decay': 0.00219634928594569, 'base_mode': 'momentum', 'use_momentum_for_update': True}"
beale,cSGD_learn_diag_log,False,1000,14.203125,95.10135650634766,"{'learning_rate': 0.006152821941865405, 'momentum': 0.7019699142564072, 'xi': 3.047028350021925, 'beta': 0.8499025967448897, 'metric_lr': 0.10200945219486195, 'metric_reg': 2.2792962194993916e-05, 'metric_clip': 4.2593004549860485}"
beale,SGD,True,196,9.98570241072146e-08,14.947891235351562,"{'learning_rate': 0.0401134712951194, 'momentum': 0.5626255173021169}"
beale,cSGD_learn_diag,True,313,9.691102973469838e-08,59.39054489135742,"{'learning_rate': 0.06294438731730724, 'momentum': 0.42600283595046806, 'xi': 0.0063401408602514545, 'beta': 0.7408813279033041, 'metric_lr': 2.094327934103475e-05, 'metric_reg': 0.0002127578572013545, 'metric_clip': 2.0759736177403907}"
