optimizer,run_name,learning_rate,beta1,beta2,eps,batch_size,n_epochs,total_training_time_sec,total_training_time_min,seed,final_max_val_acc,final_max_acc_epoch,sweep_metric,pruned,architecture,val_time_seconds,weight_decay,momentum,adam_b1,adam_b2,beta,xi,beta_rms,metric_lr,metric_reg,metric_clip,gamma,base_mode,use_momentum_for_update
adam,run_167,0.0056581514044715476,0.3064323401234645,0.9626776244394191,1e-08,1024,200,3.375581741333008,0.05625969568888346,747435,0.9809000492095947,186,-0.9809000492095947,False,MLP,0.3001267910003662,,,,,,,,,,,,,
adamw,run_970,0.0032884482376342094,0.7241714961060847,0.9915277899829948,1e-08,1024,200,3.397935152053833,0.05663225253423055,259839,0.9812000393867493,145,-0.9812000393867493,False,MLP,0.29261255264282227,1.2654063842163958e-05,,,,,,,,,,,,
sgd,run_98,0.12069513145865542,,,,1024,200,3.2184860706329346,0.05364143451054891,866613,0.980400025844574,131,-0.980400025844574,False,MLP,0.30144667625427246,,0.8881391573530513,,,,,,,,,,,
muon,run_13,0.006293215187893869,,,1e-08,1024,200,6.358349323272705,0.10597248872121175,703312,0.9839000701904297,52,-0.9839000701904297,False,MLP,0.30353713035583496,0.08598737339212278,,0.13951498272501503,0.9603591764527326,0.5372007711962057,,,,,,,,
sgd_metric,run_404,5.543206269138638,,,,1024,200,3.593198299407959,0.05988663832346598,956127,0.9834000468254089,182,-0.9834000468254089,False,MLP,0.3006622791290283,0.00012415568070932122,0.5545665016272235,,,0.5256063608501517,5.588430421438937,,,,,,,
sgd_log_metric,run_668,1.6745397745136685,,,,1024,200,3.571600914001465,0.059526681900024414,960398,0.9837000370025635,103,-0.9837000370025635,False,MLP,0.3023867607116699,0.0002342103594339619,0.5730186869668211,,,0.5766735908417643,0.33850516317882795,,,,,,,
sgd_rms,run_391,0.056323508070750615,,,1e-08,1024,200,3.7805137634277344,0.06300856272379557,461937,0.9830000400543213,101,-0.9830000400543213,False,MLP,0.30423879623413086,0.036849766296489866,0.3583007909294863,,,0.5049642801735943,0.23694260825004468,0.9271555996772676,,,,,,
sgd_learn_scalar,run_317,0.1525221517836517,,,,1024,200,3.7281687259674072,0.06213614543279012,762079,0.9827000498771667,187,-0.9827000498771667,False,MLP,0.29358458518981934,0.001962016152127682,0.1414217844278302,,,0.8767721632327441,1.0320760237343196,,0.06769859631567092,0.0024192779028783065,3.4544164569498337,,,
sgd_learn_scalar_log,run_488,0.8118695947758804,,,,1024,200,3.6860921382904053,0.061434868971506754,841122,0.9839000701904297,100,-0.9839000701904297,False,MLP,0.2894713878631592,0.0007331806643365974,0.4791803667843101,,,0.6511494579298471,0.11386277663017959,,0.0004227231005619252,1.4357461387156217e-06,2.087994421377424,,,
sgd_learn_diag,run_304,7.728445389482145,,,,1024,200,3.8716447353363037,0.06452741225560506,485971,0.9841000437736511,110,-0.9841000437736511,False,MLP,0.3018519878387451,8.463685627358614e-05,0.2855213834405583,,,0.690846128502186,6.991042489165488,,0.0005034258607310008,0.0001464301237453112,1.6165801727139484,,,
