function,optimiser,converged,iterations,final_value,runtime_ms,config
beale,cSGD_offdiag_theta_0,True,66,7.91229718441375e-08,54.43835258483887,"{'learning_rate': 0.007427239756051306, 'momentum': 0.7613318945705069, 'xi': 0.0002928721607781526, 'gamma': 0.10283080641257639, 'weight_decay': 0.002770418926948941, 'base_mode': 'momentum', 'use_momentum_for_update': False}"
beale,cSGD_offdiag_m_l,True,104,9.261981183910379e-08,182.29198455810547,"{'learning_rate': 0.01042409487077454, 'momentum': 0.7497602855313923, 'xi': 0.00014013979115097953, 'gamma': 0.05304239494903985, 'weight_decay': 0.0005061519325168229, 'base_mode': 'momentum', 'use_momentum_for_update': False}"
beale,cSGD_offdiag_m_0,True,103,9.038814297949725e-08,81.77852630615234,"{'learning_rate': 0.007394909232965203, 'momentum': 0.7344839768625935, 'xi': 0.0005057634212059582, 'gamma': 0.04102787916021328, 'weight_decay': 0.0003017387508904168, 'base_mode': 'momentum', 'use_momentum_for_update': False}"
beale,cSGD_fixed_log,True,355,9.907542003734965e-08,68.39704513549805,"{'learning_rate': 0.008490639132761166, 'momentum': 0.7632575081550154, 'xi': 0.09444574254983562, 'beta': 0.0}"
beale,cSGD_learn_scalar,True,78,2.990998037391134e-08,47.76716232299805,"{'learning_rate': 0.04670582232623112, 'momentum': 0.8481563359543118, 'xi': 0.0021918847928773734, 'beta': 0.6847922019974078, 'metric_lr': 1.1626860947013963e-05, 'metric_reg': 5.12730264629956e-06, 'metric_clip': 3.521970284809608}"
beale,cSGD_offdiag_m_m,True,175,9.942322623505317e-08,114.91513252258301,"{'learning_rate': 0.0013969983860067413, 'momentum': 0.6318179428441176, 'xi': 0.0001358966656056737, 'gamma': 0.012899800779446182, 'weight_decay': 0.002934777871115788, 'base_mode': 'momentum', 'use_momentum_for_update': False}"
beale,cSGD_learn_diag,True,38,9.131436887773565e-08,56.2586784362793,"{'learning_rate': 0.20690245441094252, 'momentum': 0.5473381513415094, 'xi': 0.010191256074094499, 'beta': 0.5543368463896439, 'metric_lr': 0.3117425832793734, 'metric_reg': 0.0037210376413736217, 'metric_clip': 1.4427823827827662}"
beale,cSGD_learn_scalar_log,True,456,9.961374456159904e-08,67.73638725280762,"{'learning_rate': 0.4893245110389268, 'momentum': 0.9377760916100201, 'xi': 8.790311296857814, 'beta': 0.8691553107768814, 'metric_lr': 0.000760848042583464, 'metric_reg': 2.1577586525539933e-06, 'metric_clip': 4.108587663709747}"
beale,cSGD_offdiag_l_l,True,198,9.652124517526003e-08,143.33629608154297,"{'learning_rate': 0.011962309087279629, 'momentum': 0.6714367905079056, 'xi': 0.00038227147744459975, 'gamma': 0.11236430752992436, 'weight_decay': 0.0003193841413217258, 'base_mode': 'grad', 'use_momentum_for_update': True}"
beale,Muon,True,47,5.029099185131138e-09,39.904117584228516,"{'learning_rate': 0.6166679372812556, 'adam_b1': 0.8089560093484434, 'adam_b2': 0.9831068010722793, 'eps': 1.5538176314007215e-09, 'beta': 0.9739498773775396}"
